TrialType,Delta,StartTime,EndTime,Success
2,24300,1737028170564,1737028174707,1
2,16200,1737028174707,1737028177674,1
2,8100,1737028177675,1737028184627,1
2,24300,1737028184627,1737028188829,1
2,0,1737028188829,1737028189263,1
2,24300,1737028189263,1737028192006,1
2,0,1737028192006,1737028193662,1
2,16200,1737028193662,1737028196905,1
2,16200,1737028196905,1737028202125,1
2,24300,1737028202125,1737028206185,1
2,16200,1737028206185,1737028209738,1
2,8100,1737028209738,1737028211473,1
2,24300,1737028211473,1737028213562,1
2,8100,1737028213562,1737028216139,1
2,24300,1737028216140,1737028218327,1
2,24300,1737028218328,1737028220628,1
2,8100,1737028220628,1737028222528,1
2,0,1737028222528,1737028222894,1
2,8100,1737028222894,1737028225771,1
2,8100,1737028225771,1737028227695,1
2,24300,1737028227695,1737028229346,1
2,0,1737028229346,1737028229736,1
2,0,1737028229736,1737028231083,1
2,8100,1737028231083,1737028233636,1
2,0,1737028233637,1737028234704,1
2,16200,1737028234704,1737028238094,1
2,8100,1737028238094,1737028241692,1
2,8100,1737028241692,1737028243715,1
2,16200,1737028243715,1737028247838,1
2,8100,1737028247838,1737028251780,1
2,0,1737028251780,1737028252191,1
2,0,1737028252191,1737028252659,1
2,16200,1737028252659,1737028258459,1
2,0,1737028258459,1737028259459,1
2,0,1737028259459,1737028260103,1
2,0,1737028260103,1737028260749,1
2,0,1737028260749,1737028261147,1
2,0,1737028261147,1737028261559,1
2,8100,1737028261560,1737028264003,1
2,0,1737028264003,1737028264404,1
2,24300,1737028264404,1737028271525,1
2,0,1737028271525,1737028272591,1
2,0,1737028272591,1737028273335,1
2,16200,1737028273335,1737028277592,1
2,8100,1737028277592,1737028279968,1
2,8100,1737028279968,1737028284012,1
2,8100,1737028284012,1737028286103,1
2,24300,1737028286103,1737028292401,1
2,24300,1737028292401,1737028298001,1
2,0,1737028298001,1737028299011,1
2,8100,1737028299011,1737028303880,1
2,8100,1737028303880,1737028305913,1
2,24300,1737028305913,1737028308401,1
2,8100,1737028308402,1737028310891,1
2,24300,1737028310891,1737028312879,1
2,16200,1737028312879,1737028316301,1
2,24300,1737028316301,1737028318802,1
2,0,1737028318802,1737028319588,1
2,16200,1737028319589,1737028323901,1
2,16200,1737028323901,1737028327423,1
2,0,1737028327423,1737028328376,1
2,16200,1737028328376,1737028333976,1
2,8100,1737028333976,1737028339089,1
2,0,1737028339089,1737028339910,1
2,24300,1737028339910,1737028344533,1
2,24300,1737028344533,1737028346199,1
2,16200,1737028346199,1737028351089,1
2,0,1737028351089,1737028352101,1
2,16200,1737028352101,1737028353177,0
